Q064,VARC,FILL IN THE BLANKS,Prepositions,The youth should believe _____God.,,upon,in,on,of,,B,Easy
Q065,VARC,FILL IN THE BLANKS,Prepositions,He was born_____ India.,,off,in,of,through,,B,Easy
Q066,VARC,FILL IN THE BLANKS,Phrasal Verbs,The convict tried his level best to justify himself but the judge looked_____ him and found him guilty.,,around,at,through,to,,B,Easy
Q067,VARC,FILL IN THE BLANKS,Vocabulary,His opponents launched a political _____against him.,,regimen,remission,regale,tirade,,D,Easy
Q068,VARC,FILL IN THE BLANKS,Vocabulary,What an_____ story! I am not _____enough yet to believe it.,,incredible/credulous,incredulous/credible,increditable/believable,unbelievable/creditable,,A,Easy
Q069,VARC,FILL IN THE BLANKS,Vocabulary,"Though this blanket is not made of wool, it has a ____texture.",,wool,woollen,woolly,woolish,,C,Easy
Q070,VARC,FILL IN THE BLANKS,Vocabulary,None of the guests ate much at the party because the food looked _____.,,unapproachable,unauthorized,unceremonious,unappetizing,,D,Easy
Q071,VARC,FILL IN THE BLANKS,Prepositions,Trust _____ God and do the right.,,in,with,at,by,,A,Easy
Q072,VARC,FILL IN THE BLANKS,Phrasal Verbs,The accused was _____ as the counsel could not produce a witness.,,let out,let off,let on,let aside,,B,Easy
Q073,VARC,FILL IN THE BLANKS,Grammar,_____thousand species of butterflies have been identified.,,As many as,As many,As much as,Much as,,A,Moderate
Q074,VARC,FILL IN THE BLANKS,Vocabulary,He_____ his mistake.,,understood,solved,finished,realised,,D,Moderate
Q075,VARC,FILL IN THE BLANKS,Prepositions,Hard working people always succeed_____ whatever they do.,,over,on,with,in,,D,Moderate
Q076,VARC,FILL IN THE BLANKS,Grammar,It has been years since I last _____him.,,had met,met,meet,have met,,B,Moderate
Q077,VARC,FILL IN THE BLANKS,Prepositions,These murals are typical _____Tamil Nadu.,,for,on,with,of,,D,Moderate
Q078,VARC,FILL IN THE BLANKS,Prepositions,The flight will land _____ six this evening.,,in,on,at,upon,,C,Moderate
Q079,VARC,FILL IN THE BLANKS,Vocabulary,I saw a _____ of cattle grazing in the meadow.,,herd,bunch,group,litter,,A,Moderate
Q080,VARC,FILL IN THE BLANKS,Vocabulary,Our flight was_____ from Jaipur to Agra airport.,,shifted,diverted,reverted,deflected,,B,Moderate
Q081,VARC,FILL IN THE BLANKS,Vocabulary,In these days of inflation we all have to_____ our belts.,,shorten,strengthen,tighten,lesson,,C,Moderate
Q082,VARC,FILL IN THE BLANKS,Vocabulary,"He made a powerful_____ in the region, and people felt he would make a good leader in the days to come.",,impression,discursive,marked,interest,,A,Moderate
Q083,VARC,FILL IN THE BLANKS,Vocabulary,The father_____ the throne for his son.,,reverted,relished,relinquished,revived,,C,Moderate
Q084,VARC,FILL IN THE BLANKS,Vocabulary,One who tries may fail but one who does not try never_____.,,succeeds,success,prosper,gain,,A,Moderate
Q085,VARC,FILL IN THE BLANKS,Phrasal Verbs,The lady_____ to be a close relative of ours.,,turned out,turned in,turned up,turned about,,A,Moderate
Q086,VARC,FILL IN THE BLANKS,Prepositions,We all have_____ the widowed girl.,,sympathy at,sympathy for,sympathy with,sympathy of,,B,Moderate
Q087,VARC,FILL IN THE BLANKS,Vocabulary,They organized an event last month in _____with another company.,,competition,collaboration,connection,regulation,,B,Difficult
Q088,VARC,FILL IN THE BLANKS,Vocabulary,He_____ to help me and called me a fool.,,refused,denied,offered,thought,,A,Difficult
Q089,VARC,FILL IN THE BLANKS,Prepositions,The river abounds _____ fish and crocodiles.,,with,of,at,on,,A,Difficult
Q090,VARC,FILL IN THE BLANKS,Vocabulary,The auditor was asked to _____ the accounts.,,count,check,spot,cheque,,B,Difficult
Q091,VARC,FILL IN THE BLANKS,Phrasal Verbs,Every student had to abide _____the rules and regulations of the hostel.,,in,by,against,with,,B,Difficult
Q092,VARC,FILL IN THE BLANKS,Prepositions,Coventry is _____ Birmingham.,,nearby,next,beside,near,,D,Difficult
Q093,VARC,FILL IN THE BLANKS,Vocabulary,"To err is_____, to forgive divine.",,human,natural,kindness,humane,,A,Difficult
Q094,VARC,FILL IN THE BLANKS,Prepositions,Next summer we're going _____ a trip to Canada.,,to,on,for,over,,B,Difficult
Q095,VARC,FILL IN THE BLANKS,Phrasal Verbs,Some interesting matters_____ in our discussion yesterday.,,came in,came up,got up,came about,,B,Difficult
Q096,VARC,FILL IN THE BLANKS,Vocabulary,"As soon as this workshop is over, I am going to ______ every duty and go on a holiday.",,sidetrack,overthrow,close down,abandon,,D,Difficult
Q097,VARC,FILL IN THE BLANKS,Vocabulary,He loaded the ______of cotton on the truck.,,bundles,bales,baskets,bunches,,B,Difficult
Q098,VARC,FILL IN THE BLANKS,Vocabulary,"Poetry is a _____ form of expression in which the particularity of the word and the image to evoke feeling, assumes great importance.",,suppressed,patronized,digressed,compressed,,D,Difficult
,,,,,,,,,,,,
ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Option A,Option B,Option C,Option D,Option E,Correct Answer,Difficulty Level
Q099,VARC,IDIOMS AND PHRASES,Idiom Meaning,Whoop it up,,be continually reminded of an unpleasant topic,"enjoying in noisy way, usually in a group",be totally ignorant or incompetent,used as an exhortation to overcome or be rid of something.,,B,Very Easy
Q100,VARC,IDIOMS AND PHRASES,Idiom Meaning,With a vengeance,,A complete disaster,having similar views or attitude to something,To look out for something without particular attention,Used to emphasize the degree to which somethings occurs,,D,Very Easy
Q101,VARC,IDIOMS AND PHRASES,Idiom Meaning,Up against the wall,,To take care of themselves and their own interests and safety,In a disorderly fashion,In an inextricable situation,Performing well in a difficult or competitive situation,,C,Very Easy
Q102,VARC,IDIOMS AND PHRASES,Idiom Meaning,Reap the whirlwind,,Providing that other factors or circumstance remain the same.,Suffer negative consequence as a result of one’s actions,An Indication that something is accepted or regarded favourably,Believing that moderation is more satisfying than excess,,B,Very Easy
Q103,VARC,IDIOMS AND PHRASES,Idiom Meaning,of the first water,,leading a comfortable life,acting contrary to the one's interests,critically important,of the best quality,,D,Very Easy
Q104,VARC,IDIOMS AND PHRASES,Idiom Meaning,weather the storm,,be absolutely unwilling to cooperate,fall over in a sudden or dramatic way,survive a period of difficulty,dispute a decision or choice already made,,C,Very Easy
Q105,VARC,IDIOMS AND PHRASES,Idiom Meaning,spin your wheels,,set an activity in motion,waste your time or efforts,a firmly held belief,with great affection or enthusiasm,,B,Very Easy
Q106,VARC,IDIOMS AND PHRASES,Idiom Meaning,wear the green willow,,to do something for someone as an act of kindness,suffer unrequited love,cause someone to be very frightened,producing a lavish celebrating feast,,B,Very Easy
Q107,VARC,IDIOMS AND PHRASES,Idiom Meaning,wild and woolly,,uncouth in appearance or behaviour,either too much of something or too little,near to perfection,ignoring all obligations,,A,Very Easy
Q108,VARC,IDIOMS AND PHRASES,Idiom Meaning,give it a whirl,,to be engaged in cheating,to completely destroy something,attach or criticize someone,to try out something,,D,Very Easy
Q109,VARC,IDIOMS AND PHRASES,Idiom Meaning,alarums and Excursions,,value for money and time,confused activity and uproar,source of fun or amusement,derive excitement or pleasure from,,B,Very Easy
Q110,VARC,IDIOMS AND PHRASES,Idiom Meaning,up in the air (about someone or something),,in prison,still to be settled,on the wrong track,enjoying great success,,B,Very Easy
Q111,VARC,IDIOMS AND PHRASES,Idiom Meaning,give oneself airs,,be intelligent,penniless,pretend to be good,prepare for a difficulty,,C,Very Easy
Q112,VARC,IDIOMS AND PHRASES,Idiom Meaning,alphabet Soup,,incomprehensible or confusing mix,something outstandingly good,fashionable and glamorous,privileged people,,A,Easy
Q113,VARC,IDIOMS AND PHRASES,Idiom Meaning,be all one to,,succeed in doing something,searching thoroughly,not in keeping with the rules,make no difference,,D,Easy
Q114,VARC,IDIOMS AND PHRASES,Idiom Meaning,an article of faith,,a formula for carrying a curse on someone,become very successful or famous,a firmly held belief,angry or Agitated,,C,Easy
Q115,VARC,IDIOMS AND PHRASES,Idiom Meaning,in the ascendant,,a general view from above,rising in power or influence,to reject someone,waiting quietly for a good opportunity,,B,Easy
Q116,VARC,IDIOMS AND PHRASES,Idiom Meaning,bring home the bacon,,an action to be taken when all else fails,be grateful for what we have,supply material support,setback for someone or something,,C,Easy
Q117,VARC,IDIOMS AND PHRASES,Idiom Meaning,have the ball at your feet.,,be able to recognize,miss something of what is going on around,enable someone to avoid humiliation,to be in the best position to do something,,D,Easy
Q118,VARC,IDIOMS AND PHRASES,Idiom Meaning,banana oil,,perfectly cool or self-possessed,nonsensical talk,a plentiful supply,very long time,,B,Easy
Q119,VARC,IDIOMS AND PHRASES,Idiom Meaning,after one's own heart,,sharing or having one's tastes or views.,infatuation with a person which is not reciprocated.,memorise something by heart.,don't have the courage to do something bad for a good person.,,A,Easy
Q120,VARC,IDIOMS AND PHRASES,Idiom Meaning,pull the wool over someone's eyes,,to protect someone.,to keep oneself warm.,deceive someone by telling lies.,to pretend to be blind to the other person's bad behaviour.,,C,Easy
Q121,VARC,IDIOMS AND PHRASES,Idiom Meaning,at large,,a very big opportunity.,a criminal escaped or not yet captured.,to have a big heart.,a big appetite.,,B,Easy
Q122,VARC,IDIOMS AND PHRASES,Idiom Meaning,head over heels,,to do things exactly opposite of what is expected.,madly in love.,to do stupid things.,to unknowingly dive into an unpleasant situation.,,B,Easy
Q123,VARC,IDIOMS AND PHRASES,Idiom Meaning,In deep water,,To die,In great difficulty,To fail completely,To surrender,,B,Easy
Q124,VARC,IDIOMS AND PHRASES,Idiom Meaning,In the egg,,In an untidy state,In a dilemma,In an early stage,In bodily form,,C,Easy
Q125,VARC,IDIOMS AND PHRASES,Idiom Meaning,Cut in on,,Acknowledge,interrupt,Evade,produce,,B,Moderate
Q126,VARC,IDIOMS AND PHRASES,Idiom Meaning,Draw a blank,,Absent minded,To be unsuccessful,Come to an end,To fall a victim,,B,Moderate
Q127,VARC,IDIOMS AND PHRASES,Idiom Meaning,Give up ghost,,To feel superior,To overcome one's fear,To give encouragement,To die,,D,Moderate
Q128,VARC,IDIOMS AND PHRASES,Idiom Meaning,Faint hearted,,Calm,Timid,Lovable,Courageous,,B,Moderate
Q129,VARC,IDIOMS AND PHRASES,Idiom Meaning,To lead astray,,To take back what you have said,To misguide,To achieve two results with one effort,To apologize humbly,,B,Moderate
Q130,VARC,IDIOMS AND PHRASES,Idiom Meaning,To make a pile,,To keep at a distance,To make a lot of money,To aggravate the situation,To face the risk,,B,Moderate
Q131,VARC,IDIOMS AND PHRASES,Idiom Meaning,Back out of,,Decimate,Record,Withdraw,Pertain,,C,Moderate
Q132,VARC,IDIOMS AND PHRASES,Idiom Meaning,Throw over,,Enumerate,Invent,Reprimand,Reject,,D,Moderate
Q133,VARC,IDIOMS AND PHRASES,Idiom Meaning,Lion's mouth,,Strict rules,Harsh spoken,Brave,A dangerous situation,,D,Moderate
Q134,VARC,IDIOMS AND PHRASES,Idiom Meaning,A stiff-necked person,,Honest and open,An obstinate person,A source of quarrel,Ordinary person,,B,Moderate
Q135,VARC,IDIOMS AND PHRASES,Idiom Meaning,Cross out,,Interrupt,Summon up,To remove,Inflate,,C,Moderate
Q136,VARC,IDIOMS AND PHRASES,Idiom Meaning,Make away with,,To compensate,Eliminate,To find out,To understand,,B,Moderate
Q137,VARC,IDIOMS AND PHRASES,Idiom Meaning,To put one out of countenance,,To put a difficulty in the way of progress,To provoke quarrel,To make one feel ashamed,To deceive someone,,C,Difficult
Q138,VARC,IDIOMS AND PHRASES,Idiom Meaning,A cock and bull story,,An important story,An imaginary story,A long story,A short story,,B,Difficult
Q139,VARC,IDIOMS AND PHRASES,Idiom Meaning,Black ox,,Nervous,Impossible,Misfortune,Ugly,,C,Difficult
Q140,VARC,IDIOMS AND PHRASES,Idiom Meaning,Break a lance with,,To appear suddenly,To argue against,To burst out,To break promise,,B,Difficult
Q141,VARC,IDIOMS AND PHRASES,Idiom Meaning,Cry wolf,,To condemn,To praise aloud,To raise a false alarm,Clamour,,C,Difficult
Q142,VARC,IDIOMS AND PHRASES,Idiom Meaning,Broken reed,,Stiffness,To break trust,Support that failed,To break peace,,C,Difficult
Q143,VARC,IDIOMS AND PHRASES,Idiom Meaning,To cut the crackle,,To stop talking aimlessly,To be under one's subjugation,To foment trouble,To ridicule,,A,Difficult
Q144,VARC,IDIOMS AND PHRASES,Idiom Meaning,Pin-money,,A person unsuited to the position he fills,To trouble others,Bribery,Allowance made to a lady for her expenses,,D,Difficult
Q145,VARC,IDIOMS AND PHRASES,Idiom Meaning,In the offing,,In danger,Appear soon,Side by side,Worrisome,,B,Difficult
Q146,VARC,IDIOMS AND PHRASES,Idiom Meaning,Wolf in sheep's clothing,,Hypocrite,Wise person,Foolish,Quarrelsome person,,A,Difficult
Q147,VARC,IDIOMS AND PHRASES,Idiom Meaning,Heads will roll,,Unconditionally surrendered,Dismissed or forced to resign,Born in a wealthy family,Resorted to illegitimate practices,,B,Difficult
Q148,VARC,IDIOMS AND PHRASES,Idiom Meaning,A green horn,,An inexperienced man,A dangerous man,A suspicious man,A wise person,,A,Difficult
Q149,VARC,SPOT THE ERROR,Error Spotting,A senior doctor (A)/ expressed concern (B)/ about physician's recommended the vaccine. (C)/ No error (D),,A senior doctor,expressed concern,about physician's recommended the vaccine,No error,,C,Very Easy
Q150,VARC,SPOT THE ERROR,Error Spotting,We have discussing (A)/ all the known mechanisms (B)/ of physical growth. (C)/ No error (D),,We have discussing,all the known mechanisms,of physical growth,No error,,A,Very Easy
Q151,VARC,SPOT THE ERROR,Error Spotting,Children enjoy listening to (A)/ ghost stories (B)/ especially on Halloween night. (C)/ No error(D),,Children enjoy listening to,ghost stories,especially on Halloween night,No error,,C,Very Easy
Q152,VARC,SPOT THE ERROR,Error Spotting,I (A)/ have(B)/ many works to do.(C)/ No error. (D),,I,have,many works to do,No error,,C,Very Easy
Q153,VARC,SPOT THE ERROR,Error Spotting,There are so many filth(A)/ all around (B)/ the place. (C)/ No еггог (D),,There are so many filth,all around,the place,No error,,A,Very Easy
Q154,VARC,SPOT THE ERROR,Error Spotting,I (A)/ came to school (B)/ at the same usual time. (C)/ No error (D),,I,came to school,at the same usual time,No error,,C,Very Easy
Q155,VARC,SPOT THE ERROR,Error Spotting,The company is using (A)/ influence to persuade people(B)/ to buy its refrigerators.(C)/ No error (D),,The company is using,influence to persuade people,to buy its refrigerators,No error,,D,Very Easy
Q156,VARC,SPOT THE ERROR,Error Spotting,The technician reminded them (A)/ to have a thoroughly cleaning of the machine (B)/after each use. (C)/ No error (D),,The technician reminded them,to have a thoroughly cleaning of the machine,after each use,No error,,B,Very Easy
Q157,VARC,SPOT THE ERROR,Error Spotting,You should have used the money (A)/ for paying your debts (B)/ Instead of buy a motor cycle. (C)/ No error (D),,You should have used the money,for paying your debts,Instead of buy a motor cycle,No error,,C,Very Easy
Q158,VARC,SPOT THE ERROR,Error Spotting,My cousin (A)/ Invited me (B)/to her birthday party. (C)/ No error (D),,My cousin,Invited me,to her birthday party,No error,,D,Very Easy
Q159,VARC,SPOT THE ERROR,Error Spotting,We should abide (A)/ to the promise (B)/ that we make. (C)/ No error (D),,We should abide,to the promise,that we make,No error,,B,Very Easy
Q160,VARC,SPOT THE ERROR,Error Spotting,I and him (A)/ are(B)/ very good friends.(C)/ No error (D).,,I and him,are,very good friends,No error,,A,Very Easy
Q161,VARC,SPOT THE ERROR,Error Spotting,One should (A)/ look after (B)/ their parents.(C)/No error (D).,,One should,look after,their parents,No error,,C,Very Easy
Q162,VARC,SPOT THE ERROR,Error Spotting,She placed (A)/ the offering (B)/ to God in the altar.(C)/ No error. (D),,She placed,the offering,to God in the altar,No error,,C,Easy
Q163,VARC,SPOT THE ERROR,Error Spotting,Teachers were instructed (A)/ to follow an uniform method (B)/ of evaluation. (C)/ No error. (D),,Teachers were instructed,to follow an uniform method,of evaluation,No error,,B,Easy
Q164,VARC,SPOT THE ERROR,Error Spotting,The newspapers they admit that (A)/advertising sometimes (B)/ influences their editorial policy.(C)/ No erroг (D),,The newspapers they admit that,advertising sometimes,influences their editorial policy,No error,,A,Easy
Q165,VARC,SPOT THE ERROR,Error Spotting,I saw him (A)/ coming out of the hotel (B)/on 10 o'clock. (C)/No error. (D),,I saw him,coming out of the hotel,on 10 o'clock,No error,,C,Easy
Q166,VARC,SPOT THE ERROR,Error Spotting,One of my friend (A)/is returning (B)/ to India from the U.S.A. (C)/ No error. (D),,One of my friend,is returning,to India from the U.S.A.,No error,,A,Easy
Q167,VARC,SPOT THE ERROR,Error Spotting,He knows (A)/ that your muscles (B)/ are not same as his. (C)/ No error. (D),,He knows,that your muscles,are not same as his,No error,,C,Easy
Q168,VARC,SPOT THE ERROR,Error Spotting,There is no agreement (A)/ between you and I (B)/ so we are free to go our way. (C)/ No error (D),,There is no agreement,between you and I,so we are free to go our way,No error,,B,Easy
Q169,VARC,SPOT THE ERROR,Error Spotting,His father would (A)/ rather die than (B)/ to beg from door to door. (C)/ No error (D),,His father would,rather die than,to beg from door to door,No error,,C,Easy
